work_id,title,override_slug,automatic_slug,status,detail
RAMIREZ-ARELLANO_LoQueCiegaLaPasion(Transk-IMPR),Lo que ciega una pasión a una mujer despechada,analisis-estilometrico-lo-que-ciega-una-pasion-una-mujer-despechada,analisis-estilometrico-lo-que-ciega-una-pasion-a-una-mujer-despechada,ok,present-in-old-csv
MIRA_LoQueNoEsCasarse,Lo que no es casarse a gusto,analisis-estilometrico-lo-que-no-es-casarse-gusto,analisis-estilometrico-lo-que-no-es-casarse-a-gusto,ok,present-in-old-csv
CANIZARES_LoQueVaDeCetroACetro(Transk-IMPR),Lo que va de cetro a cetro y crueldad de Inglaterra,analisis-estilometrico-lo-que-va-de-cetro-cetro-y-crueldad-de-inglaterra,analisis-estilometrico-lo-que-va-de-cetro-a-cetro-y-crueldad-de-inglaterra,ok,present-in-old-csv
CALDERON_LoQueVaDelHombre(Auto),Lo que va del hombre a Dios,analisis-estilometrico-lo-que-va-del-hombre-dios,analisis-estilometrico-lo-que-va-del-hombre-a-dios,ok,present-in-old-csv
TORRE-SEVIL_FiestasDesamparados(Loa),Loa inscrita en las Reales fiestas a la Virgen de los Desamparados,analisis-estilometrico-loa-inscrita-en-las-reales-fiestas-la-virgen-de-los-desamparados,analisis-estilometrico-loa-inscrita-en-las-reales-fiestas-a-la-virgen-de-los-desamparados,ok,present-in-old-csv
CALDERON_MagicoProdigioso,"Mágico prodigioso, El",analisis-estilometrico-magico-prodigioso-el,analisis-estilometrico-el-magico-prodigioso,ok,present-in-old-csv
CALDERONdudosa_MalPagadorEnPajas(Transk-IMPR),Mal pagador en pajas,analisis-estilometrico-el-mal-pagador-en-pajas,analisis-estilometrico-mal-pagador-en-pajas,ok,present-in-old-csv
CALDERON_ManosBlancas,"Manos blancas no ofenden, Las",analisis-estilometrico-manos-blancas-no-ofenden-las,analisis-estilometrico-las-manos-blancas-no-ofenden,ok,present-in-old-csv
ACEVEDO-ANGELA_MargaritaDelTajo(Transk-IMPR),"Margarita del Tajo que dio nombre a Santarén, La",analisis-estilometrico-la-margarita-del-tajo-que-dio-nombre-santaren,analisis-estilometrico-la-margarita-del-tajo-que-dio-nombre-a-santaren,ok,present-in-old-csv
MONROY_MasValeAQuienDiosAyudaPastorMasPerseguido(Transk-IMPR),"Más vale a quien Dios ayuda, Esaú y Jacob, o el Pastor más perseguido y finezas de Raquel",analisis-estilometrico-mas-vale-quien-dios-ayuda-esau-y-jacob-el-pastor-mas-perseguido-y,analisis-estilometrico-mas-vale-a-quien-dios-ayuda-esau-y-jacob-o-el-pastor-mas,ok,present-in-old-csv
LOPE_Maya(Auto),"Maya, La",analisis-estilometrico-la-maya-0,analisis-estilometrico-la-maya,ok,present-in-old-csv
QUINONES_Maya(Entremes),"Maya, La",analisis-estilometrico-la-maya,analisis-estilometrico-la-maya-0,ok,present-in-old-csv
CALDERON_MayorEncantoAmor,"Mayor encanto, amor, El",analisis-estilometrico-mayor-encanto-amor-el,analisis-estilometrico-el-mayor-encanto-amor,ok,present-in-old-csv
CALDERON_MayorMonstruo,"Mayor monstruo del mundo, El",analisis-estilometrico-mayor-monstruo-del-mundo-el,analisis-estilometrico-el-mayor-monstruo-del-mundo,ok,present-in-old-csv
LOPEdudosa_MedicoDeSuHonra,"Médico de su honra, El",analisis-estilometrico-el-medico-de-su-honra,analisis-estilometrico-el-medico-de-su-honra-0,ok,present-in-old-csv
CALDERON_MedicoDeSuHonra,"Médico de su honra, El",analisis-estilometrico-el-medico-de-su-honra-el-celoso-de-su-honra,analisis-estilometrico-el-medico-de-su-honra,ok,present-in-old-csv
BELMONTE&ROJAS&CALDERONdudosa_MejorAmigoElMuerto(VersionImpresos),"Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión impresos)",analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version,ok,present-in-old-csv
BELMONTE&ROJAS&CALDERON_MejorAmigoElMuerto(VersionManuscritos),"Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión manuscritos)",analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0,ok,present-in-old-csv
FIGUEROA-DIEGO-Y-JOSE_MentirYMudarseAUnTiempo(Transk-IMPR),Mentir y mudarse a un tiempo,analisis-estilometrico-mentir-y-mudarse-un-tiempo,analisis-estilometrico-mentir-y-mudarse-a-un-tiempo,ok,present-in-old-csv
LOPE_MiradAQuienAlabais,Mirad a quién alabáis,analisis-estilometrico-mirad-quien-alabais,analisis-estilometrico-mirad-a-quien-alabais,ok,present-in-old-csv
CANCER_MocedadesDelCid,"Mocedades del Cid, Las",analisis-estilometrico-las-mocedades-del-cid-las-travesuras-del-cid,analisis-estilometrico-las-mocedades-del-cid,ok,present-in-old-csv
CALDERON_MonstruoDeLosJardines,"Monstruo de los jardines, El",analisis-estilometrico-monstruo-de-los-jardines-el,analisis-estilometrico-el-monstruo-de-los-jardines,ok,present-in-old-csv
CABEZA_MorirAUnTiempoYVivir(Transk-IMPR),Morir a un tiempo y vivir,analisis-estilometrico-morir-un-tiempo-y-vivir,analisis-estilometrico-morir-a-un-tiempo-y-vivir,ok,present-in-old-csv
GONZALEZ-BUSTOS_MosqueteroDeFlandes(Transk-IMPR),"Mosquetero de Flandes, El",analisis-estilometrico-mosquetero-de-flandes,analisis-estilometrico-el-mosquetero-de-flandes,ok,present-in-old-csv
DESCONOCIDO_NegacionDeLaPosadaASanJose(Auto)(Transk-MSS),"Negación de la posada a San José, La",analisis-estilometrico-la-negacion-de-la-posada-san-jose,analisis-estilometrico-la-negacion-de-la-posada-a-san-jose,ok,present-in-old-csv
VELEZ_NegroDelSerafin,"Negro del Serafín, El",analisis-estilometrico-el-negro-del-serafin-el-santo-negro-rosambuco,analisis-estilometrico-el-negro-del-serafin-0,ok,present-in-old-csv
DIAMANTE_NoAspirarAMerecer(Modern-Aut),No aspirar a merecer,analisis-estilometrico-no-aspirar-merecer,analisis-estilometrico-no-aspirar-a-merecer,ok,present-in-old-csv
ZAMORA_NoHayDeudaQueNoSePague(Transk-IMPR),No hay plazo que no se cumpla ni deuda que no se pague y convidado de piedra,analisis-estilometrico-no-hay-plazo-que-no-se-cumpla-ni-deuda-que-no-se-pague-y-convidado,analisis-estilometrico-no-hay-plazo-que-no-se-cumpla-ni-deuda-que-no-se-pague-y,ok,present-in-old-csv
MONTALBAN_NoHayVidaComoLaHonra(Transk-IMPR),No hay vida como la honra,analisis-estilometrico-no-hay-vida-como-la-honra,analisis-estilometrico-no-hay-vida-como-la-honra-0,ok,present-in-old-csv
DESCONOCIDO_NoHayVidaComoLaHonra(Burlesca),No hay vida como la honra,analisis-estilometrico-no-hay-vida-como-la-honra-no-hay-vida-como-la-olla,analisis-estilometrico-no-hay-vida-como-la-honra,ok,present-in-old-csv
VILLAVICIOSA&MATOS&MORETO_NuestraSenoraDelPilar,Nuestra Señora del Pilar,analisis-estilometrico-nuestra-senora-del-pilar-0,analisis-estilometrico-nuestra-senora-del-pilar,ok,present-in-old-csv
SANCHEZ-FELIPE_NuestraSenoraDelPilar(Auto)(Transk-IMPR),Nuestra Señora del Pilar,analisis-estilometrico-nuestra-senora-del-pilar,analisis-estilometrico-nuestra-senora-del-pilar-0,ok,present-in-old-csv
CLARAMONTE_NuevoReyGallinato,"Nuevo rey Gallinato, El",analisis-estilometrico-el-nuevo-rey-gallinato-y-la-ventura-por-desgracia,analisis-estilometrico-el-nuevo-rey-gallinato,ok,present-in-old-csv
VELEZ_ObligacionALasMujeres,"Obligación a las mujeres, La",analisis-estilometrico-la-obligacion-las-mujeres,analisis-estilometrico-la-obligacion-a-las-mujeres,ok,present-in-old-csv
MORETO&MENESES&MATOS_Oponerse,Oponerse a las estrellas,analisis-estilometrico-oponerse-las-estrellas,analisis-estilometrico-oponerse-a-las-estrellas,ok,present-in-old-csv
VELEZ_PalabrasALosReyes,"Palabras a los reyes, Las",analisis-estilometrico-las-palabras-los-reyes,analisis-estilometrico-las-palabras-a-los-reyes,ok,present-in-old-csv
CALDERON_ParaVencerAAmor,"Para vencer a amor, querer vencerle",analisis-estilometrico-para-vencer-amor-querer-vencerle,analisis-estilometrico-para-vencer-a-amor-querer-vencerle,ok,present-in-old-csv
CALDERON_PastorFido(Auto),"Pastor Fido, El",analisis-estilometrico-el-pastor-fido-0,analisis-estilometrico-el-pastor-fido,ok,present-in-old-csv
SOLIS&COELLO&CALDERON_PastorFido(Transk-IMPR),"Pastor Fido, El",analisis-estilometrico-el-pastor-fido,analisis-estilometrico-el-pastor-fido-0,ok,present-in-old-csv
CERVANTES_PedroDeUrdemalas,Pedro de Urdemalas,analisis-estilometrico-pedro-de-urdemalas-1,analisis-estilometrico-pedro-de-urdemalas,ok,present-in-old-csv
LOPEdudosa_PedroDeUrdemalas,Pedro de Urdemalas,analisis-estilometrico-pedro-de-urdemalas,analisis-estilometrico-pedro-de-urdemalas-1,ok,present-in-old-csv
MONROY_PerdonarPorNoPoderseVengar(Transk-IMPR),Perdonar por no poderse vengar,analisis-estilometrico-perdonar-no-poderse-vengar,analisis-estilometrico-perdonar-por-no-poderse-vengar,ok,present-in-old-csv
DESCONOCIDO_PlumaPurpuraYEspada(Transk-IMPR),"Pluma, púrpura y espada solo en Cisneros se halla y restauración de Orán",analisis-estilometrico-pluma-purpura-y-espada-solo-en-cisneros-se-halla-y-restauracion-de,analisis-estilometrico-pluma-purpura-y-espada-solo-en-cisneros-se-halla-y-restauracion,ok,present-in-old-csv
HURTADO_PremioDeLaVirtud(Transk-IMPR),"Premio de la virtud, El",analisis-estilometrico-el-premio-de-la-virtud-y-sucesos-prodigiosos-de-don-pedro-guerrero,analisis-estilometrico-el-premio-de-la-virtud-0,ok,present-in-old-csv
HERRERA_PrimerTemploDeEspana(Transk-MSS),"Primer templo de España y San Segundo Obispo de Ávila, El",analisis-estilometrico-primer-templo-de-espana-y-san-segundo-obispo-de-avila-el,analisis-estilometrico-el-primer-templo-de-espana-y-san-segundo-obispo-de-avila,ok,present-in-old-csv
DESCONOCIDO_ProgneYFilomena,Progne y Filomena,analisis-estilometrico-progne-y-filomena-1,analisis-estilometrico-progne-y-filomena-0,ok,present-in-old-csv
ROJAS_ProgneYFilomena,Progne y Filomena,analisis-estilometrico-progne-y-filomena-0,analisis-estilometrico-progne-y-filomena-1,ok,present-in-old-csv
SALUCIO_ProsperaFortuna,"Próspera fortuna del muy noble caballero Ruy López de Ávalos el Bueno, La",analisis-estilometrico-la-prospera-fortuna-del-muy-noble-caballero-ruy-lopez-de-avalos-el,analisis-estilometrico-la-prospera-fortuna-del-muy-noble-caballero-ruy-lopez-de-avalos,ok,present-in-old-csv
ALARCON_QuienEnganaMas,Quién engaña más a quién,analisis-estilometrico-quien-engana-mas-quien,analisis-estilometrico-quien-engana-mas-a-quien,ok,present-in-old-csv
TIRSO_QuinasDePortugal,"Quinas de Portugal, Las",analisis-estilometrico-las-quinas-de-portugal-0,analisis-estilometrico-las-quinas-de-portugal,ok,present-in-old-csv
