work_id,title,otrostitulos,new_url,slug
CALLEJA-OTRO_SanJuanCalibita(Transk-MSS),San Juan Calibita,,https://etso.es/informes/analisis-estilometrico-san-juan-calibita,analisis-estilometrico-san-juan-calibita
CALLEJA-OTRO_SantaCatalina(Transk-MSS),"Santa Catalina Virgen, la rosa de Alejandría, y la disputa que tuvo con los doctores",,https://etso.es/informes/analisis-estilometrico-santa-catalina-virgen-la-rosa-de-alejandria-y-la-disputa-que-tuvo,analisis-estilometrico-santa-catalina-virgen-la-rosa-de-alejandria-y-la-disputa-que-tuvo
CLARAMONTE_SantaTeodora,Santa Teodora,"Púsoseme el sol, saliome la luna",https://etso.es/informes/analisis-estilometrico-santa-teodora,analisis-estilometrico-santa-teodora
MORETO_SantoCristo,"Santo Cristo de Cabrilla, El","Cristo de los Milagros, El",https://etso.es/informes/analisis-estilometrico-el-santo-cristo-de-cabrilla,analisis-estilometrico-el-santo-cristo-de-cabrilla
MIRA_SantoSinNacer,"Santo sin nacer y mártir sin morir, El",,https://etso.es/informes/analisis-estilometrico-el-santo-sin-nacer-y-martir-sin-morir,analisis-estilometrico-el-santo-sin-nacer-y-martir-sin-morir
TORRE-FARFAN_SentidosCorporales(Auto)(Transk-MSS),"Sentidos corporales, Los",,https://etso.es/informes/analisis-estilometrico-los-sentidos-corporales,analisis-estilometrico-los-sentidos-corporales
DESCONOCIDO_SerNoblePorFantasia(Transk-MSS)(JornadaSegunda),Ser noble por fantasía y marqués de Madroñal (segunda jornada),,https://etso.es/informes/analisis-estilometrico-ser-noble-por-fantasia-y-marques-de-madronal-segunda-jornada,analisis-estilometrico-ser-noble-por-fantasia-y-marques-de-madronal-segunda-jornada
MONTALBANdudosa_SerPrudenteYSerSufrido,Ser prudente y ser sufrido,,https://etso.es/informes/analisis-estilometrico-ser-prudente-y-ser-sufrido,analisis-estilometrico-ser-prudente-y-ser-sufrido
CALDERON_SibilaDeOriente,"Sibila de oriente, La","Gran reina de Saba, La",https://etso.es/informes/analisis-estilometrico-la-sibila-de-oriente,analisis-estilometrico-la-sibila-de-oriente
CALDERON_SiembraDelSenorObrerosDelSenor(Auto),"Siembra del señor, La","Obreros del señor, Los",https://etso.es/informes/analisis-estilometrico-la-siembra-del-senor,analisis-estilometrico-la-siembra-del-senor
VEGA-BELTRAN_SiempreCelaQuienBienAma(Transk-IMPR),Siempre cela quien bien ama,,https://etso.es/informes/analisis-estilometrico-siempre-cela-quien-bien-ama,analisis-estilometrico-siempre-cela-quien-bien-ama
CERVANTESdudosa_SoberanaVirgenDeGuadalupe(Auto),"Soberana Virgen de Guadalupe y sus milagros y grandezas de España, La",,https://etso.es/informes/analisis-estilometrico-la-soberana-virgen-de-guadalupe-y-sus-milagros-y-grandezas-de,analisis-estilometrico-la-soberana-virgen-de-guadalupe-y-sus-milagros-y-grandezas-de
VILLEGAS-JUAN_SolAMedianoche(Transk-IMPR),"Sol a medianoche y estrellas a medio día, El",,https://etso.es/informes/analisis-estilometrico-el-sol-a-medianoche-y-estrellas-a-medio-dia,analisis-estilometrico-el-sol-a-medianoche-y-estrellas-a-medio-dia
ROJASdudosa_TantoHagasComoPaguesTraicionVengada,Tanto hagas como pagues,"Traición vengada, La | No hay plazo que no llegue ni deuda que no se pague",https://etso.es/informes/analisis-estilometrico-tanto-hagas-como-pagues,analisis-estilometrico-tanto-hagas-como-pagues
DESCONOCIDO_TeodoraAlejandrina,"Teodora alejandrina y penitencia, vida y muerte suya",,https://etso.es/informes/analisis-estilometrico-teodora-alejandrina-y-penitencia-vida-y-muerte-suya,analisis-estilometrico-teodora-alejandrina-y-penitencia-vida-y-muerte-suya
DESCONOCIDO_TestamentoDeCristo(Auto)(Transk-MSS),"Testamento de Cristo, El",,https://etso.es/informes/analisis-estilometrico-el-testamento-de-cristo,analisis-estilometrico-el-testamento-de-cristo
MATOS_TiaDeLaMenor(Transk-IMPR),"Tia de la menor, La","Allá se verá | Tía y la sobrina, La",https://etso.es/informes/analisis-estilometrico-la-tia-de-la-menor,analisis-estilometrico-la-tia-de-la-menor
ROCA_TiranoDeLombardia(Transk-IMPR),"Tirano de Lombardía, El",,https://etso.es/informes/analisis-estilometrico-el-tirano-de-lombardia,analisis-estilometrico-el-tirano-de-lombardia
MONROY_TodoEsIndustriaElAmor(Transk-IMPR),Todo es industria el Amor,"Celos, industria y amor",https://etso.es/informes/analisis-estilometrico-todo-es-industria-el-amor,analisis-estilometrico-todo-es-industria-el-amor
SARAVIA_TodoEstaSujetoAAmor(Transk-MSS),Todo está sujeto a amor,,https://etso.es/informes/analisis-estilometrico-todo-esta-sujeto-a-amor,analisis-estilometrico-todo-esta-sujeto-a-amor
LOPEdudosa_ToledanoVengado,"Toledano vengado, El",,https://etso.es/informes/analisis-estilometrico-el-toledano-vengado,analisis-estilometrico-el-toledano-vengado
VIDAL_TomaDeBuda(Transk-MSS),"Toma de Buda por el duque de Lorena, La",,https://etso.es/informes/analisis-estilometrico-la-toma-de-buda-por-el-duque-de-lorena,analisis-estilometrico-la-toma-de-buda-por-el-duque-de-lorena
MORETOdudosa_TravesurasDePantoja,"Travesuras de Pantoja, Las",,https://etso.es/informes/analisis-estilometrico-las-travesuras-de-pantoja,analisis-estilometrico-las-travesuras-de-pantoja
CALLEJA-OTRO_TriunfoDeFortaleza(Transk-MSS),"Triunfo de la fortaleza, San Ignacio de Loyola, El",,https://etso.es/informes/analisis-estilometrico-el-triunfo-de-la-fortaleza-san-ignacio-de-loyola,analisis-estilometrico-el-triunfo-de-la-fortaleza-san-ignacio-de-loyola
DESCONOCIDO_TriunfosDeMaria,"Triunfos de María, Los",,https://etso.es/informes/analisis-estilometrico-los-triunfos-de-maria,analisis-estilometrico-los-triunfos-de-maria
DESCONOCIDO_TriunfosQueAlcanzaElCelo(Dialogo)(Transk-MSS),"Triunfos que alcanza el celo solo juzgar puede el cielo, Los",,https://etso.es/informes/analisis-estilometrico-los-triunfos-que-alcanza-el-celo-solo-juzgar-puede-el-cielo,analisis-estilometrico-los-triunfos-que-alcanza-el-celo-solo-juzgar-puede-el-cielo
ROJASdudosa_VariosProdigiosDeAmor,Varios prodigios de amor,"Prodigios de amor, Los",https://etso.es/informes/analisis-estilometrico-varios-prodigios-de-amor,analisis-estilometrico-varios-prodigios-de-amor
LOPEdudosa_VasoDeEleccion,"Vaso de elección San Pablo, El",,https://etso.es/informes/analisis-estilometrico-el-vaso-de-eleccion-san-pablo,analisis-estilometrico-el-vaso-de-eleccion-san-pablo
DESCONOCIDO_VaticinioCumplido,"Vaticinio cumplido y estrella de Inglaterra, El",,https://etso.es/informes/analisis-estilometrico-el-vaticinio-cumplido-y-estrella-de-inglaterra,analisis-estilometrico-el-vaticinio-cumplido-y-estrella-de-inglaterra
LOPEdudosa_VencidoVencedor,"Vencido, vencedor, El",,https://etso.es/informes/analisis-estilometrico-el-vencido-vencedor,analisis-estilometrico-el-vencido-vencedor
CAMPO_VencimientoDeTurno(Transk-IMPR),"Vencimiento de Turno, El","Conquista del alma, La",https://etso.es/informes/analisis-estilometrico-el-vencimiento-de-turno,analisis-estilometrico-el-vencimiento-de-turno
MATOS_VenganzaEnElEmpeno(Transk-IMPR),Venganza en el empeño,Venganza en el despeño y tirano de Navarra,https://etso.es/informes/analisis-estilometrico-venganza-en-el-empeno,analisis-estilometrico-venganza-en-el-empeno
AGUILAR_VenganzaHonrosaDesgraciaVenturosa,"Venganza honrosa, La","Desgracia venturosa, La",https://etso.es/informes/analisis-estilometrico-la-venganza-honrosa,analisis-estilometrico-la-venganza-honrosa
LOPEdudosa_VenturaEnLaDesgracia,"Ventura en la desgracia, La",,https://etso.es/informes/analisis-estilometrico-la-ventura-en-la-desgracia,analisis-estilometrico-la-ventura-en-la-desgracia
FREYLE_VerseYTenersePorMuertos(Transk-IMPR),Verse y tenerse por muertos,,https://etso.es/informes/analisis-estilometrico-verse-y-tenerse-por-muertos,analisis-estilometrico-verse-y-tenerse-por-muertos
LOPEdudosa_ViajeDelHombre,"Viaje del hombre, El",,https://etso.es/informes/analisis-estilometrico-el-viaje-del-hombre,analisis-estilometrico-el-viaje-del-hombre
DESCONOCIDO_ViciosDeComodo,"Vicios de Comodo, emperador romano, y su muerte y elección de Pertinaz y triunfo suyo en Roma, Los",,https://etso.es/informes/analisis-estilometrico-los-vicios-de-comodo-emperador-romano-y-su-muerte-y-eleccion-de,analisis-estilometrico-los-vicios-de-comodo-emperador-romano-y-su-muerte-y-eleccion-de
PALAU_VictoriaDeCristo(Transk-IMPR),Victoria de Cristo,,https://etso.es/informes/analisis-estilometrico-victoria-de-cristo,analisis-estilometrico-victoria-de-cristo
DESCONOCIDO_VidaYMartirioDeSanBartolome(Transk-MSS),"Vida y martirio de San Bartolomé, apóstol de Jesucristo, La",,https://etso.es/informes/analisis-estilometrico-la-vida-y-martirio-de-san-bartolome-apostol-de-jesucristo,analisis-estilometrico-la-vida-y-martirio-de-san-bartolome-apostol-de-jesucristo
ESPINOSA_DichosoDesdichado(Transk-IMPR),Vida y muerte de Poncio Pilato,"Dichoso desdichado, Poncio Pilato, El",https://etso.es/informes/analisis-estilometrico-vida-y-muerte-de-poncio-pilato,analisis-estilometrico-vida-y-muerte-de-poncio-pilato
DIAMANTE&ALII_VidaMuerteYColocacionSanIsidro(Transk-MSS),"Vida, muerte y colocación de San Isidro",,https://etso.es/informes/analisis-estilometrico-vida-muerte-y-colocacion-de-san-isidro,analisis-estilometrico-vida-muerte-y-colocacion-de-san-isidro
MORETO&CANCER_VirgenAurora,"Virgen de la Aurora, La",Nuestra señora de la Aurora,https://etso.es/informes/analisis-estilometrico-la-virgen-de-la-aurora,analisis-estilometrico-la-virgen-de-la-aurora
CALDERONdudosa_VirgenDeSopetran,"Virgen de Sopetrán, La","Batalla de Sopetrán, La",https://etso.es/informes/analisis-estilometrico-la-virgen-de-sopetran,analisis-estilometrico-la-virgen-de-sopetran
LOPE_YoMeEntiendo,Yo me entiendo,,https://etso.es/informes/analisis-estilometrico-yo-me-entiendo,analisis-estilometrico-yo-me-entiendo
VALDIVIELSO_ArbolDeLaVida(Auto)(Modern-Aut),"Árbol de la vida, El",,https://etso.es/informes/analisis-estilometrico-el-arbol-de-la-vida,analisis-estilometrico-el-arbol-de-la-vida
