work_id,title,otrostitulos,automatic_slug,current_generated_slug,desired_report_slug,reason,old_slug_candidates
TIRSO_FingidaArcadia,"Fingida Arcadia, La",,analisis-estilometrico-la-fingida-arcadia-0,analisis-estilometrico-la-fingida-arcadia,analisis-estilometrico-la-fingida-arcadia,exact-title-duplicate,"analisis-estilometrico-la-fingida-arcadia [Fingida Arcadia, La]"
MIRA_GalanValiente,"Galán, valiente y discreto",,analisis-estilometrico-galan-valiente-y-discreto,analisis-estilometrico-galan-valiente-y-discreto,,exact-title-duplicate,"analisis-estilometrico-galan-valiente-y-discreto [Galán, valiente y discreto]; analisis-estilometrico-galan-valiente-y-discreto-0 [Galán, valiente y discreto]"
ROJAS_GalanValienteYDiscreto(Auto),"Galán, valiente y discreto",,analisis-estilometrico-galan-valiente-y-discreto-0,analisis-estilometrico-galan-valiente-y-discreto-0,,exact-title-duplicate,"analisis-estilometrico-galan-valiente-y-discreto [Galán, valiente y discreto]; analisis-estilometrico-galan-valiente-y-discreto-0 [Galán, valiente y discreto]"
DIAMANTE&LANINI_GranCardenalDeEspanaCisneros(PrimeraParte)(Transk-MSS),"Gran cardenal de España fray Francisco Jiménez de Cisneros, El (primera parte)",,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0,,descriptor-match,"analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0 [Gran cardenal de España fray Francisco Jiménez de Cisneros, El (Primera parte)]; analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros [Gran cardenal de España fray Francisco Jiménez de Cisneros, El (Segunda parte)]"
DIAMANTE&LANINI_FrayFranciscoJimenezDeCisneros(SegundaParte)(Transk-MSS),"Gran cardenal de España fray Francisco Jiménez de Cisneros, El (segunda parte)",,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0,analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros,,descriptor-match,"analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros [Gran cardenal de España fray Francisco Jiménez de Cisneros, El (Segunda parte)]; analisis-estilometrico-el-gran-cardenal-de-espana-fray-francisco-jimenez-de-cisneros-0 [Gran cardenal de España fray Francisco Jiménez de Cisneros, El (Primera parte)]"
CERVANTES_GuardaCuidadosa(Entremes),"Guarda cuidadosa, La",,analisis-estilometrico-la-guarda-cuidadosa,analisis-estilometrico-la-guarda-cuidadosa,,exact-title-duplicate,"analisis-estilometrico-la-guarda-cuidadosa [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-0 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-1 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-2 [Guarda cuidadosa, La]"
DESCONOCIDO_GuardaCuidadosa(Auto)(Transk-MSS),"Guarda cuidadosa, La",,analisis-estilometrico-la-guarda-cuidadosa-0,analisis-estilometrico-la-guarda-cuidadosa-0,,exact-title-duplicate,"analisis-estilometrico-la-guarda-cuidadosa [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-0 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-1 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-2 [Guarda cuidadosa, La]"
MIRA_GuardaCuidadosa(Auto),"Guarda cuidadosa, La",,analisis-estilometrico-la-guarda-cuidadosa-1,analisis-estilometrico-la-guarda-cuidadosa-1,,exact-title-duplicate,"analisis-estilometrico-la-guarda-cuidadosa [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-0 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-1 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-2 [Guarda cuidadosa, La]"
SANCHEZ_GuardaCuidadosa,"Guarda cuidadosa, La",,analisis-estilometrico-la-guarda-cuidadosa-2,analisis-estilometrico-la-guarda-cuidadosa-2,,exact-title-duplicate,"analisis-estilometrico-la-guarda-cuidadosa [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-0 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-1 [Guarda cuidadosa, La]; analisis-estilometrico-la-guarda-cuidadosa-2 [Guarda cuidadosa, La]"
BELMONTE&MARTINEZ_HameteDeToledo(Transk-IMPR),"Hamete de Toledo, El",,analisis-estilometrico-el-hamete-de-toledo,analisis-estilometrico-el-hamete-de-toledo-0,,exact-title-duplicate,"analisis-estilometrico-el-hamete-de-toledo-0 [Hamete de Toledo, El]; analisis-estilometrico-el-hamete-de-toledo [Hamete de Toledo, El]; analisis-estilometrico-hamete-de-toledo-el-burlesca [Hamete de Toledo, El (Burlesca)]"
LOPE_HameteDeToledo,"Hamete de Toledo, El",,analisis-estilometrico-el-hamete-de-toledo-0,analisis-estilometrico-el-hamete-de-toledo,,exact-title-duplicate,"analisis-estilometrico-el-hamete-de-toledo-0 [Hamete de Toledo, El]; analisis-estilometrico-el-hamete-de-toledo [Hamete de Toledo, El]; analisis-estilometrico-hamete-de-toledo-el-burlesca [Hamete de Toledo, El (Burlesca)]"
DIAMANTE_HerculesDeOcana,"Hércules de Ocaña, El",,analisis-estilometrico-el-hercules-de-ocana,analisis-estilometrico-el-hercules-de-ocana-0,,exact-title-duplicate,"analisis-estilometrico-el-hercules-de-ocana [Hércules de Ocaña, El]; analisis-estilometrico-el-hercules-de-ocana-0 [Hércules de Ocaña, El]"
VELEZ_HerculesDeOcana,"Hércules de Ocaña, El",,analisis-estilometrico-el-hercules-de-ocana-0,analisis-estilometrico-el-hercules-de-ocana,,exact-title-duplicate,"analisis-estilometrico-el-hercules-de-ocana [Hércules de Ocaña, El]; analisis-estilometrico-el-hercules-de-ocana-0 [Hércules de Ocaña, El]"
BENEYTO_HijoObediente(Transk-IMPR),"Hijo obediente, El",,analisis-estilometrico-el-hijo-obediente,analisis-estilometrico-el-hijo-obediente-0,,exact-title-duplicate,"analisis-estilometrico-el-hijo-obediente-0 [Hijo obediente, El]; analisis-estilometrico-el-hijo-obediente [Hijo obediente, El]"
MORETO_HijoObediente,"Hijo obediente, El",,analisis-estilometrico-el-hijo-obediente-0,analisis-estilometrico-el-hijo-obediente,,exact-title-duplicate,"analisis-estilometrico-el-hijo-obediente-0 [Hijo obediente, El]; analisis-estilometrico-el-hijo-obediente [Hijo obediente, El]"
CANCER&MORETO&MATOS_HijoProdigo,"Hijo pródigo, El",,analisis-estilometrico-el-hijo-prodigo,analisis-estilometrico-el-hijo-prodigo,,exact-title-duplicate,"analisis-estilometrico-el-hijo-prodigo [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-2 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-0 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-1 [Hijo pródigo, El]"
LOPE_HijoProdigo(Auto),"Hijo pródigo, El",,analisis-estilometrico-el-hijo-prodigo-0,analisis-estilometrico-el-hijo-prodigo-2,,exact-title-duplicate,"analisis-estilometrico-el-hijo-prodigo [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-2 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-0 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-1 [Hijo pródigo, El]"
REMON_HijoProdigo(Auto),"Hijo pródigo, El",,analisis-estilometrico-el-hijo-prodigo-1,analisis-estilometrico-el-hijo-prodigo-0,,exact-title-duplicate,"analisis-estilometrico-el-hijo-prodigo [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-2 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-0 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-1 [Hijo pródigo, El]"
VALDIVIELSO_HijoProdigo(Auto),"Hijo pródigo, El",,analisis-estilometrico-el-hijo-prodigo-2,analisis-estilometrico-el-hijo-prodigo-1,,exact-title-duplicate,"analisis-estilometrico-el-hijo-prodigo [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-2 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-0 [Hijo pródigo, El]; analisis-estilometrico-el-hijo-prodigo-1 [Hijo pródigo, El]"
GODINEZ_IgnoranteDiscreto(Auto)(Transk-MSS),"Ignorante discreto, El",,analisis-estilometrico-el-ignorante-discreto,analisis-estilometrico-el-ignorante-discreto,,exact-title-duplicate,"analisis-estilometrico-el-ignorante-discreto-0 [Ignorante discreto, El]; analisis-estilometrico-el-ignorante-discreto [Ignorante discreto, El]"
GUERRERO_IgnoranteDiscreto,"Ignorante discreto, El",,analisis-estilometrico-el-ignorante-discreto-0,analisis-estilometrico-el-ignorante-discreto-0,,exact-title-duplicate,"analisis-estilometrico-el-ignorante-discreto-0 [Ignorante discreto, El]; analisis-estilometrico-el-ignorante-discreto [Ignorante discreto, El]"
BANCES_InclinacionEspanola(Transk-IMPR),"Inclinación española, La",,analisis-estilometrico-la-inclinacion-espanola,analisis-estilometrico-la-inclinacion-espanola,analisis-estilometrico-la-inclinacion-espanola,exact-title-duplicate,"analisis-estilometrico-la-inclinacion-espanola [Inclinación española, La]"
CALDERON_JardinDeFalerina,"Jardín de Falerina, El",,analisis-estilometrico-el-jardin-de-falerina,analisis-estilometrico-jardin-de-falerina-el,,exact-title-duplicate,"analisis-estilometrico-jardin-de-falerina-el [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina-0 [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina [Jardín de Falerina, El]"
CALDERONdudosa_JardinDeFalerina(Auto),"Jardín de Falerina, El",,analisis-estilometrico-el-jardin-de-falerina-0,analisis-estilometrico-el-jardin-de-falerina-0,,exact-title-duplicate,"analisis-estilometrico-jardin-de-falerina-el [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina-0 [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina [Jardín de Falerina, El]"
ROJAS&COELLO&CALDERON_JardinDeFalerina,"Jardín de Falerina, El",,analisis-estilometrico-el-jardin-de-falerina-1,analisis-estilometrico-el-jardin-de-falerina,,exact-title-duplicate,"analisis-estilometrico-jardin-de-falerina-el [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina-0 [Jardín de Falerina, El]; analisis-estilometrico-el-jardin-de-falerina [Jardín de Falerina, El]"
DIAMANTE_LaberintoDeCreta(Transk-IMPR),"Laberinto de Creta, El",,analisis-estilometrico-el-laberinto-de-creta,analisis-estilometrico-el-laberinto-de-creta-1,,exact-title-duplicate,"analisis-estilometrico-el-laberinto-de-creta-0 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta-1 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta [Laberinto de Creta, El]"
LOPE_LaberintoDeCreta,"Laberinto de Creta, El",,analisis-estilometrico-el-laberinto-de-creta-0,analisis-estilometrico-el-laberinto-de-creta,,exact-title-duplicate,"analisis-estilometrico-el-laberinto-de-creta-0 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta-1 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta [Laberinto de Creta, El]"
TIRSO_LaberintoDeCreta(Auto),"Laberinto de Creta, El",,analisis-estilometrico-el-laberinto-de-creta-1,analisis-estilometrico-el-laberinto-de-creta-0,,exact-title-duplicate,"analisis-estilometrico-el-laberinto-de-creta-0 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta-1 [Laberinto de Creta, El]; analisis-estilometrico-el-laberinto-de-creta [Laberinto de Creta, El]"
CALDERON_MaestroDeDanzar,"Maestro de danzar, El",,analisis-estilometrico-el-maestro-de-danzar,analisis-estilometrico-el-maestro-de-danzar,,exact-title-duplicate,"analisis-estilometrico-el-maestro-de-danzar [Maestro de danzar, El]; analisis-estilometrico-el-maestro-de-danzar-0 [Maestro de danzar, El]"
LOPE_MaestroDeDanzar,"Maestro de danzar, El",,analisis-estilometrico-el-maestro-de-danzar-0,analisis-estilometrico-el-maestro-de-danzar-0,,exact-title-duplicate,"analisis-estilometrico-el-maestro-de-danzar [Maestro de danzar, El]; analisis-estilometrico-el-maestro-de-danzar-0 [Maestro de danzar, El]"
CALDERONdudosa_MarcoAntonioYCleopatra(Transk-IMPR),Marco Antonio y Cleopatra,,analisis-estilometrico-marco-antonio-y-cleopatra-0,analisis-estilometrico-marco-antonio-y-cleopatra,analisis-estilometrico-marco-antonio-y-cleopatra,exact-title-duplicate,analisis-estilometrico-marco-antonio-y-cleopatra [Marco Antonio y Cleopatra]
LOPE_MargaritaPreciosa(Auto)(Transk-MSS),"Margarita preciosa, La",,analisis-estilometrico-la-margarita-preciosa,analisis-estilometrico-la-margarita-preciosa,,exact-title-duplicate,"analisis-estilometrico-la-margarita-preciosa [Margarita preciosa, La]; analisis-estilometrico-la-margarita-preciosa-0 [Margarita preciosa, La]"
ZABALETA&CANCER&CALDERON_MargaritaPreciosa,"Margarita preciosa, La",,analisis-estilometrico-la-margarita-preciosa-0,analisis-estilometrico-la-margarita-preciosa-0,,exact-title-duplicate,"analisis-estilometrico-la-margarita-preciosa [Margarita preciosa, La]; analisis-estilometrico-la-margarita-preciosa-0 [Margarita preciosa, La]"
LOPEdudosa_MartiresDeMadrid,"Mártires de Madrid, Los",,analisis-estilometrico-los-martires-de-madrid,analisis-estilometrico-los-martires-de-madrid,,exact-title-duplicate,"analisis-estilometrico-los-martires-de-madrid [Mártires de Madrid, Los]; analisis-estilometrico-los-martires-de-madrid-0 [Mártires de Madrid, Los]"
MONROY_MartiresDeMadrid(Transk-MSS),"Mártires de Madrid, Los",,analisis-estilometrico-los-martires-de-madrid-0,analisis-estilometrico-los-martires-de-madrid-0,,exact-title-duplicate,"analisis-estilometrico-los-martires-de-madrid [Mártires de Madrid, Los]; analisis-estilometrico-los-martires-de-madrid-0 [Mártires de Madrid, Los]"
LOPE_Maya(Auto),"Maya, La",,analisis-estilometrico-la-maya,analisis-estilometrico-la-maya-0,,exact-title-duplicate,"analisis-estilometrico-la-maya-0 [Maya, La]; analisis-estilometrico-la-maya [Maya, La]"
QUINONES_Maya(Entremes),"Maya, La",,analisis-estilometrico-la-maya-0,analisis-estilometrico-la-maya,,exact-title-duplicate,"analisis-estilometrico-la-maya-0 [Maya, La]; analisis-estilometrico-la-maya [Maya, La]"
CALDERON_MedicoDeSuHonra,"Médico de su honra, El","Celoso de su honra, El",analisis-estilometrico-el-medico-de-su-honra,analisis-estilometrico-el-medico-de-su-honra-el-celoso-de-su-honra,analisis-estilometrico-el-medico-de-su-honra,exact-title-duplicate,"analisis-estilometrico-el-medico-de-su-honra [Médico de su honra, El]"
LOPEdudosa_MedicoDeSuHonra,"Médico de su honra, El",,analisis-estilometrico-el-medico-de-su-honra-0,analisis-estilometrico-el-medico-de-su-honra,analisis-estilometrico-el-medico-de-su-honra,exact-title-duplicate,"analisis-estilometrico-el-medico-de-su-honra [Médico de su honra, El]"
LOPE_MejorAlcaldeElRey,"Mejor alcalde, el rey, El",,analisis-estilometrico-el-mejor-alcalde-el-rey,analisis-estilometrico-el-mejor-alcalde-el-rey,,exact-title-duplicate,"analisis-estilometrico-el-mejor-alcalde-el-rey [Mejor alcalde, el rey, El]; analisis-estilometrico-el-mejor-alcalde-el-rey-0 [Mejor alcalde, el rey, El]"
MARTINEZ_MejorAlcaldeElRey(Transk-IMPR),"Mejor alcalde, el rey, El",,analisis-estilometrico-el-mejor-alcalde-el-rey-0,analisis-estilometrico-el-mejor-alcalde-el-rey-0,,exact-title-duplicate,"analisis-estilometrico-el-mejor-alcalde-el-rey [Mejor alcalde, el rey, El]; analisis-estilometrico-el-mejor-alcalde-el-rey-0 [Mejor alcalde, el rey, El]"
BELMONTE&ROJAS&CALDERONdudosa_MejorAmigoElMuerto(VersionImpresos),"Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión impresos)",,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0,,descriptor-match,"analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0 [Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión impresos)]; analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version [Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión manuscritos)]"
BELMONTE&ROJAS&CALDERON_MejorAmigoElMuerto(VersionManuscritos),"Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión manuscritos)",,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0,analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version,,descriptor-match,"analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version [Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión manuscritos)]; analisis-estilometrico-el-mejor-amigo-el-muerto-y-fortunas-de-don-juan-de-castro-version-0 [Mejor amigo, el muerto y fortunas de don Juan de Castro, El (Versión impresos)]"
CASTRO_MejorEsposo,"Mejor esposo, El",,analisis-estilometrico-el-mejor-esposo,analisis-estilometrico-el-mejor-esposo,,exact-title-duplicate,"analisis-estilometrico-el-mejor-esposo [Mejor esposo, El]; analisis-estilometrico-el-mejor-esposo-0 [Mejor esposo, El]"
MORETO_MejorEsposo(Transk-IMPR),"Mejor esposo, El",,analisis-estilometrico-el-mejor-esposo-0,analisis-estilometrico-el-mejor-esposo-0,,exact-title-duplicate,"analisis-estilometrico-el-mejor-esposo [Mejor esposo, El]; analisis-estilometrico-el-mejor-esposo-0 [Mejor esposo, El]"
CALDERONdudosa_MejorPadre,"Mejor padre de pobres, El",,analisis-estilometrico-el-mejor-padre-de-pobres,analisis-estilometrico-el-mejor-padre-de-pobres,,exact-title-duplicate,"analisis-estilometrico-el-mejor-padre-de-pobres [Mejor padre de pobres, El]; analisis-estilometrico-el-mejor-padre-de-pobres-0 [Mejor padre de pobres, El]"
PACHECO_MejorPadreDePobres(Transk-MSS),"Mejor padre de pobres, El",,analisis-estilometrico-el-mejor-padre-de-pobres-0,analisis-estilometrico-el-mejor-padre-de-pobres-0,,exact-title-duplicate,"analisis-estilometrico-el-mejor-padre-de-pobres [Mejor padre de pobres, El]; analisis-estilometrico-el-mejor-padre-de-pobres-0 [Mejor padre de pobres, El]"
ALARCON_MudarsePorMejorarse,Mudarse por mejorarse,,analisis-estilometrico-mudarse-por-mejorarse,analisis-estilometrico-mudarse-por-mejorarse,,exact-title-duplicate,analisis-estilometrico-mudarse-por-mejorarse [Mudarse por mejorarse]; analisis-estilometrico-mudarse-por-mejorarse-0 [Mudarse por mejorarse]
ENRIQUEZ_MudarsePorMejorarse,Mudarse por mejorarse,,analisis-estilometrico-mudarse-por-mejorarse-0,analisis-estilometrico-mudarse-por-mejorarse-0,,exact-title-duplicate,analisis-estilometrico-mudarse-por-mejorarse [Mudarse por mejorarse]; analisis-estilometrico-mudarse-por-mejorarse-0 [Mudarse por mejorarse]
LOPE_MuertosVivos,"Muertos vivos, Los",,analisis-estilometrico-los-muertos-vivos,analisis-estilometrico-los-muertos-vivos,,exact-title-duplicate,"analisis-estilometrico-los-muertos-vivos-0 [Muertos vivos, Los]; analisis-estilometrico-los-muertos-vivos [Muertos vivos, Los]"
QUINONES_MuertosVivos(Entremes),"Muertos vivos, Los",,analisis-estilometrico-los-muertos-vivos-0,analisis-estilometrico-los-muertos-vivos-0,,exact-title-duplicate,"analisis-estilometrico-los-muertos-vivos-0 [Muertos vivos, Los]; analisis-estilometrico-los-muertos-vivos [Muertos vivos, Los]"
REYES_NacimientoDeNuestroSenor(Auto)(Transk-MSS),"Nacimiento de Nuestro Señor, El",,analisis-estilometrico-el-nacimiento-de-nuestro-senor,analisis-estilometrico-el-nacimiento-de-nuestro-senor,,exact-title-duplicate,"analisis-estilometrico-el-nacimiento-de-nuestro-senor [Nacimiento de Nuestro Señor, El]; analisis-estilometrico-el-nacimiento-de-nuestro-senor-0 [Nacimiento de nuestro señor, El]"
VALDIVIELSO_NacimientoDeNuestroSenor(Auto)(Transk-IMPR),"Nacimiento de Nuestro Señor, El",,analisis-estilometrico-el-nacimiento-de-nuestro-senor-0,analisis-estilometrico-el-nacimiento-de-nuestro-senor-0,,exact-title-duplicate,"analisis-estilometrico-el-nacimiento-de-nuestro-senor [Nacimiento de Nuestro Señor, El]; analisis-estilometrico-el-nacimiento-de-nuestro-senor-0 [Nacimiento de nuestro señor, El]"
PACHECO_NegroDelSerafin(Transk-MSS),"Negro del serafín, El",,analisis-estilometrico-el-negro-del-serafin,analisis-estilometrico-el-negro-del-serafin,analisis-estilometrico-el-negro-del-serafin,exact-title-duplicate,"analisis-estilometrico-el-negro-del-serafin [Negro del serafín, El]"
VELEZ_NegroDelSerafin,"Negro del Serafín, El","Santo negro Rosambuco, El",analisis-estilometrico-el-negro-del-serafin-0,analisis-estilometrico-el-negro-del-serafin-el-santo-negro-rosambuco,,exact-title-duplicate,"analisis-estilometrico-el-negro-del-serafin [Negro del serafín, El]; analisis-estilometrico-el-santo-negro-rosambuco [Santo Negro Rosambuco, El]"
CLARAMONTEdudosa_NinfaDelCielo(Auto),"Ninfa del cielo, La",,analisis-estilometrico-la-ninfa-del-cielo,analisis-estilometrico-la-ninfa-del-cielo,,exact-title-duplicate,"analisis-estilometrico-la-ninfa-del-cielo [Ninfa del cielo, La]; analisis-estilometrico-la-ninfa-del-cielo-0 [Ninfa del cielo, La]"
TIRSOdudosa_NinfaDelCielo,"Ninfa del cielo, La",,analisis-estilometrico-la-ninfa-del-cielo-0,analisis-estilometrico-la-ninfa-del-cielo-0,,exact-title-duplicate,"analisis-estilometrico-la-ninfa-del-cielo [Ninfa del cielo, La]; analisis-estilometrico-la-ninfa-del-cielo-0 [Ninfa del cielo, La]"
DESCONOCIDO_NoHayVidaComoLaHonra(Burlesca),No hay vida como la honra,No hay vida como la olla,analisis-estilometrico-no-hay-vida-como-la-honra,analisis-estilometrico-no-hay-vida-como-la-honra-no-hay-vida-como-la-olla,analisis-estilometrico-no-hay-vida-como-la-honra,exact-title-duplicate,analisis-estilometrico-no-hay-vida-como-la-honra [No hay vida como la honra]
MONTALBAN_NoHayVidaComoLaHonra(Transk-IMPR),No hay vida como la honra,,analisis-estilometrico-no-hay-vida-como-la-honra-0,analisis-estilometrico-no-hay-vida-como-la-honra,analisis-estilometrico-no-hay-vida-como-la-honra,exact-title-duplicate,analisis-estilometrico-no-hay-vida-como-la-honra [No hay vida como la honra]
VILLAVICIOSA&MATOS&MORETO_NuestraSenoraDelPilar,Nuestra Señora del Pilar,,analisis-estilometrico-nuestra-senora-del-pilar,analisis-estilometrico-nuestra-senora-del-pilar-0,,exact-title-duplicate,analisis-estilometrico-nuestra-senora-del-pilar [Nuestra Señora del Pilar]; analisis-estilometrico-nuestra-senora-del-pilar-0 [Nuestra Señora del Pilar]
SANCHEZ-FELIPE_NuestraSenoraDelPilar(Auto)(Transk-IMPR),Nuestra Señora del Pilar,,analisis-estilometrico-nuestra-senora-del-pilar-0,analisis-estilometrico-nuestra-senora-del-pilar,,exact-title-duplicate,analisis-estilometrico-nuestra-senora-del-pilar [Nuestra Señora del Pilar]; analisis-estilometrico-nuestra-senora-del-pilar-0 [Nuestra Señora del Pilar]
DESCONOCIDO_PadrinoDeSuAfrenta(Transk-MSS),"Padrino de su afrenta, El",,analisis-estilometrico-el-padrino-de-su-afrenta,analisis-estilometrico-el-padrino-de-su-afrenta,analisis-estilometrico-el-padrino-de-su-afrenta,exact-title-duplicate,"analisis-estilometrico-el-padrino-de-su-afrenta [Padrino de su afrenta, El]"
CALDERON_PastorFido(Auto),"Pastor Fido, El",,analisis-estilometrico-el-pastor-fido,analisis-estilometrico-el-pastor-fido-0,,exact-title-duplicate,"analisis-estilometrico-el-pastor-fido [Pastor Fido, El]; analisis-estilometrico-el-pastor-fido-0 [Pastor Fido, El]"
SOLIS&COELLO&CALDERON_PastorFido(Transk-IMPR),"Pastor Fido, El",,analisis-estilometrico-el-pastor-fido-0,analisis-estilometrico-el-pastor-fido,,exact-title-duplicate,"analisis-estilometrico-el-pastor-fido [Pastor Fido, El]; analisis-estilometrico-el-pastor-fido-0 [Pastor Fido, El]"
LOZANO_PastoresDeBelen(Auto)(Transk-IMPR),"Pastores de Belen, Los",,analisis-estilometrico-los-pastores-de-belen,analisis-estilometrico-los-pastores-de-belen,,exact-title-duplicate,"analisis-estilometrico-los-pastores-de-belen [Pastores de Belen, Los]; analisis-estilometrico-los-pastores-de-belen-0 [Pastores de Belén, Los]"
MIRA_PastoresDeBelen(Auto),"Pastores de Belén, Los",,analisis-estilometrico-los-pastores-de-belen-0,analisis-estilometrico-los-pastores-de-belen-0,,exact-title-duplicate,"analisis-estilometrico-los-pastores-de-belen [Pastores de Belen, Los]; analisis-estilometrico-los-pastores-de-belen-0 [Pastores de Belén, Los]"
CERVANTES_PedroDeUrdemalas,Pedro de Urdemalas,,analisis-estilometrico-pedro-de-urdemalas,analisis-estilometrico-pedro-de-urdemalas-1,,exact-title-duplicate,analisis-estilometrico-pedro-de-urdemalas [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-0 [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-1 [Pedro de Urdemalas]
DIAMANTE_PedroDeUrdemalas,Pedro de Urdemalas,,analisis-estilometrico-pedro-de-urdemalas-0,analisis-estilometrico-pedro-de-urdemalas-0,,exact-title-duplicate,analisis-estilometrico-pedro-de-urdemalas [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-0 [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-1 [Pedro de Urdemalas]
LOPEdudosa_PedroDeUrdemalas,Pedro de Urdemalas,,analisis-estilometrico-pedro-de-urdemalas-1,analisis-estilometrico-pedro-de-urdemalas,,exact-title-duplicate,analisis-estilometrico-pedro-de-urdemalas [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-0 [Pedro de Urdemalas]; analisis-estilometrico-pedro-de-urdemalas-1 [Pedro de Urdemalas]
CALDERON_PintorDeSuDeshonra,"Pintor de su deshonra, El",,analisis-estilometrico-el-pintor-de-su-deshonra,analisis-estilometrico-el-pintor-de-su-deshonra,analisis-estilometrico-el-pintor-de-su-deshonra,exact-title-duplicate,"analisis-estilometrico-el-pintor-de-su-deshonra [Pintor de su deshonra, El]"
DESCONOCIDO_PremioDeLaVirtud(Transk-MSS),"Premio de la virtud, El",,analisis-estilometrico-el-premio-de-la-virtud,analisis-estilometrico-el-premio-de-la-virtud,,exact-title-duplicate,"analisis-estilometrico-el-premio-de-la-virtud [Premio de la virtud, El]; analisis-estilometrico-el-premio-de-la-virtud-y-sucesos-prodigiosos-de-don-pedro-guerrero [Premio de la virtud, El]"
HURTADO_PremioDeLaVirtud(Transk-IMPR),"Premio de la virtud, El",,analisis-estilometrico-el-premio-de-la-virtud-0,analisis-estilometrico-el-premio-de-la-virtud-y-sucesos-prodigiosos-de-don-pedro-guerrero,,exact-title-duplicate,"analisis-estilometrico-el-premio-de-la-virtud [Premio de la virtud, El]; analisis-estilometrico-el-premio-de-la-virtud-y-sucesos-prodigiosos-de-don-pedro-guerrero [Premio de la virtud, El]"
