work_id,slug
RIPOLL_AntidotosDeLaGracia(Transk-IMPR),antidotos-de-la-gracia-contra-infernales-y-venenos-maria-santisima
MORETO_AntiocoYSeleuco,antioco-y-seleuco
LOPE_AnzueloDeFenisa,el-anzuelo-de-fenisa
DESCONOCIDO_ApoloElDeseado(Transk-MSS),apolo-el-deseado
CALDERON_ApoloYClimene,apolo-y-climene
GONZALEZ-BARCIA_ApostolDeLaGreciaSanAndres(Transk-MSS),el-apostol-de-grecia-san-andres
SICARDO_ApostolDeSalamanca(Transk-IMPR),el-apostol-de-salamanca
LANINI&DIAMANTE_ApostolValencianoSanVicenteFerrer(Transk-MSS),el-apostol-de-valencia-san-vicente-ferrer
TORRES-NAHARRO_Aquilana,aquilana
TIRSO_Aquiles,el-aquiles
SALGADO_AraspasYPantea(Transk-IMPR),araspas-y-plantea
CLARAMONTE_Araucana(Auto),la-araucana
LOPE_AraucoDomado,el-arauco-domado
CALDERON_ArcaDeDiosCautiva(Auto),el-arca-de-dios-cautiva
LOPEdudosa_ArcaDeNoe,el-arca-de-noe
MARTINEZ&ROSETE&CANCER_ArcaDeNoe(Transk-IMPR),el-arca-de-noe-0
MATOS-GUZMAN_ArcadiaEnBelen(Transk-IMPR),arcadia-en-belen-y-amor-el-mayor-hechizo
LOPE_Arcadia,la-arcadia
ARBOREDA_ArcoDePazDelCielo(Transk-IMPR),el-arco-de-paz-del-cielo
DESCONOCIDO_ArdienteEspada,la-ardiente-espada
LOPE_ArenalDeSevilla,el-arenal-de-sevilla
LOPE_ArgelFingido,el-argel-fingido-y-renegado-de-amor
CALDERON_ArgenisYPoliarco,argenis-y-poliarco
ALFARO_AristomenesMesenio,aristomenes-mesenio
CALDERON_ArmasDeLaHermosura,armas-de-la-hermosura-las
MORALES_Armengoles(PrimeraParte),los-armengoles-primera-parte
MORALES_Armengoles(SegundaParte),los-armengoles-segunda-parte
LOPEdudosa_ArmindaCelosa,arminda-celosa
MIRA_ArpaDeDavid,el-arpa-de-david
LOPE_AsaltoDeMastrique,el-asalto-de-mastrique-por-el-principe-de-parma
DESCONOCIDO_AsedioYAsaltoDePeniscola(Transk-MSS),el-asedio-y-sitio-de-peniscola
GONZALEZ-GARCI-GONZALEZ_AsombroDeLaItalia(Transk-IMPR),el-asombro-de-la-italia-y-vida-de-la-venerable-clara-de-agolancia
MANZANO_AsombroDeLaSierra(Transk-MSS),el-asombro-de-la-sierra-en-milagros-y-devotos-nuestra-senora-de
VELEZ_AsombroDeTurquia,el-asombro-de-turquia-y-valiente-toledano
CANIZARES_AsombroDeJerez(PrimeraParte)(Transk-IMPR),el-asombro-de-jerez-juana-la-rabicortona-primera-parte
CANIZARES_AsombroDeJerez(SegundaParte)(Transk-IMPR),el-asombro-de-jerez-juana-la-rabicortona-segunda-parte
CALDERON_AstrologoFingido(VersionCorta),el-astrologo-fingido-version-corta
CALDERON_AstrologoFingido(VersionLarga),el-astrologo-fingido-version-larga
QUIROGA_AstuciasDeLuzbel(Transk-IMPR),astucias-de-luzbel-contra-las-divinas-profecias-las
DESCONOCIDO_AsuncionDeNuestraSenora(Auto)(Transk-MSS),la-asuncion-de-nuestra-senora
OVANDO_AtalantaDeOvidio(Transk-MSS),la-atalanta
CLARAMONTE_AtaudParaElVivo,el-ataud-para-el-vivo-y-el-talamo-para-el-muerto
VIRUES_AtilaFurioso,atila-furioso
VELEZ_AtilaAzoteDeDios,atila-azote-de-dios
LOPE_AudienciasDelReyDonPedro,audiencias-del-rey-don-pedro
DESCONOCIDO_AunVencidoVenceAmor(Transk-IMPR),aun-vencido-vence-amor-o-el-prometeo
CALDERON_AuristelaYLisidante,auristela-y-lisidante
DESCONOCIDO_AuroraDeLaRioja(Transk-IMPR),la-aurora-de-la-rioja-nuestra-senora-de-valvanera
JIMENEZ-SEDENO_AuroraDelSolDivino(Transk-IMPR),la-aurora-del-sol-divino
CALDERON_AuroraEnCopacabana,la-aurora-en-copacabana
DESCONOCIDO(3)_AurorasDeSevilla(Transk-IMPR),las-auroras-de-sevilla
LOPE_AusenteEnElLugar,el-ausente-en-el-lugar
BANCES_AustriaEnJerusalen(Transk-IMPR),el-austria-en-jerusalen
RAMOS-CASTILLO_AutoSacramental(Otro)(Auto)(Transk-IMPR),auto-sacramental-otro
RAMOS-CASTILLO_AutoSacramental(Otro1)(Auto)(Transk-IMPR),auto-sacramental-emp-senor-galan-embozado
RAMOS-CASTILLO_AutoSacramental(Auto)(Transk-IMPR),auto-sacramental
DESCONOCIDO_AventurasDeGrecia,las-aventuras-de-grecia
DESCONOCIDO_AventurasDelAlma(Auto),las-aventuras-del-alma
LOPE_AventurasDelHombre(Auto)(Transk-IMPR),las-aventuras-del-hombre
TIRSO_AverigueloVargas,averiguelo-vargas
LOPE_AyVerdadesQueEnAmor,ay-verdades-que-en-amor
CUEVA_AyaxTelamon(Transk-IMPR),ayas-telamon
CASTRO_AyoDeSuHijo,el-ayo-de-su-hijo
TORRES-CUEVAS_AyudarConLosEstorbos(Transk-IMPR),ayudar-con-los-estorbos
TORRE-SEVIL_AzucenaDeEtiopiaLucesDeLaAurora(Transk-IMPR),la-azucena-de-etiopia
FIGUEROA-DIEGO_ACadaPasoUnPeligro(Transk-IMPR),cada-paso-un-peligro-0
CANIZARES_ACualMejorConfesadaYConfesor(Transk-IMPR),cual-mejor-confesada-y-confesor
BRAVO-SOTOMAYOR_AMasAmorMasDesden(Transk-MSS),mas-amor-mas-desden
HOZ_ASerReyEnsenaUnAngel(Transk-IMPR),ser-rey-ensena-un-angel
CUBILLO_AnascoElDeTalavera,anasco-el-de-talavera
CALDERON_AnoSantoDeRoma(Auto),el-ano-santo-de-roma
CALDERON_AnoSantoEnMadrid(Auto),el-ano-santo-en-madrid
GODINEZ_AunDeNocheAlumbra,aun-de-noche-alumbra-el-sol
CAMARA_BabiloniaDeAmor(Transk-IMPR),babilonia-de-amor
BARCENA_BabiloniaDeEuropa(Transk-IMPR),la-babilonia-de-europa-y-primer-rey-de-romanos
MORETO_BaileDeLosOficios(Entremes),el-baile-de-los-oficios
TIRSO_BalconesDeMadrid,los-balcones-de-madrid
VELEZ&COELLO&ROJAS_Baltasara,la-baltasara
CANIZARES_BandaDeCastilla(Transk-IMPR),la-banda-de-castilla-y-duelo-contra-si-mismo
CALDERON_BandaYLaFlor,banda-y-la-flor-la
DESCONOCIDO_BandoleraDeBaeza(Transk-MSS),la-bandolera-de-baeza-y-peligro-de-alabarse
DESCONOCIDO_BandoleraDeItalia(Transk-IMPR),la-bandolera-de-italia
CUBILLO_BandoleroDeFlandes(Transk-IMPR),el-bandolero-de-flandes
CANCER&ROSETE&ROJAS_BandoleroSolPosto,el-bandolero-sol-posto
