work_id,title,slug,slug_source,automatic_slug,override_slug,report_url,otrostitulos
LOPE_RusticoDelCielo(Transk-IMPR),"Rústico del cielo, El",el-rustico-del-cielo,automatic,el-rustico-del-cielo,,https://etso.es/informes/analisis-estilometrico-el-rustico-del-cielo,
CALDERON_SaberDelMal,Saber del mal y el bien,saber-del-mal-y-el-bien,automatic,saber-del-mal-y-el-bien,,https://etso.es/informes/analisis-estilometrico-saber-del-mal-y-el-bien,
DESCONOCIDO_SaberDesmentirSospechas(Transk-IMPR),Saber desmentir sospechas,saber-desmentir-sospechas,automatic,saber-desmentir-sospechas,,https://etso.es/informes/analisis-estilometrico-saber-desmentir-sospechas,
LANINI_SaberObligarADios(Transk-MSS),Saber obligar a Dios para llegar a ser rey,saber-obligar-dios-para-llegar-ser-rey,override,saber-obligar-a-dios-para-llegar-a-ser-rey,saber-obligar-dios-para-llegar-ser-rey,https://etso.es/informes/analisis-estilometrico-saber-obligar-dios-para-llegar-ser-rey,
LOPEdudosa_SaberPorNoSaber(Transk-IMPR),"Saber por no saber y vida de san Julián de Alcalá de Henares, El",el-saber-por-no-saber-y-vida-de-san-julian-de-alcala-de-henares,automatic,el-saber-por-no-saber-y-vida-de-san-julian-de-alcala-de-henares,,https://etso.es/informes/analisis-estilometrico-el-saber-por-no-saber-y-vida-de-san-julian-de-alcala-de-henares,
LOPE_SaberPuedeDanar,"Saber puede dañar, El",el-saber-puede-danar,automatic,el-saber-puede-danar,,https://etso.es/informes/analisis-estilometrico-el-saber-puede-danar,
CRESPO_SaberSerLocoEsCordura(Transk-IMPR),Saber ser loco es cordura,saber-ser-loco-es-cordura,automatic,saber-ser-loco-es-cordura,,https://etso.es/informes/analisis-estilometrico-saber-ser-loco-es-cordura,
MATOS_SabioEnSuRetiro(Transk-IMPR),"Sabio en su retiro, El",el-sabio-en-su-retiro,automatic,el-sabio-en-su-retiro,,https://etso.es/informes/analisis-estilometrico-el-sabio-en-su-retiro,
DESCONOCIDO_SacoDeAmberes,"Saco de Amberes, El",el-saco-de-amberes,automatic,el-saco-de-amberes,,https://etso.es/informes/analisis-estilometrico-el-saco-de-amberes,
GONZALEZ-BARCIA_SacoDeLaGranCasaDeMeca(Transk-MSS),"Saco de la gran casa de Meca, El",el-saco-de-la-gran-casa-de-meca,automatic,el-saco-de-la-gran-casa-de-meca,,https://etso.es/informes/analisis-estilometrico-el-saco-de-la-gran-casa-de-meca,
